step,block_size,lr,train_loss,train_ema,gn
0,128,6.666667e-06,4.1522,4.1522,1.067
1,128,1.333333e-05,4.1377,4.1515,1.055
2,128,2.000000e-05,4.1538,4.1516,1.069
3,128,2.666667e-05,4.1462,4.1513,1.060
4,128,3.333333e-05,4.1517,4.1514,1.067
5,128,4.000000e-05,4.1444,4.1510,1.062
6,128,4.666667e-05,4.1453,4.1507,1.065
7,128,5.333333e-05,4.1318,4.1498,1.053
8,128,6.000000e-05,4.1423,4.1494,1.064
9,128,6.666667e-05,4.1403,4.1489,1.060
10,128,7.333333e-05,4.1538,4.1492,1.067
11,128,8.000000e-05,4.1372,4.1486,1.060
12,128,8.666667e-05,4.1251,4.1474,1.051
13,128,9.333333e-05,4.1397,4.1470,1.060
14,128,1.000000e-04,4.1351,4.1464,1.057
15,128,1.066667e-04,4.1390,4.1461,1.061
16,128,1.133333e-04,4.1351,4.1455,1.054
17,128,1.200000e-04,4.1185,4.1442,1.041
18,128,1.266667e-04,4.1228,4.1431,1.045
19,128,1.333333e-04,4.1543,4.1437,1.070
20,128,1.400000e-04,4.1382,4.1434,1.059
21,128,1.466667e-04,4.1238,4.1424,1.049
22,128,1.533333e-04,4.1251,4.1415,1.047
23,128,1.600000e-04,4.1269,4.1408,1.051
24,128,1.666667e-04,4.1450,4.1410,1.060
25,128,1.733333e-04,4.1279,4.1404,1.052
26,128,1.800000e-04,4.1283,4.1398,1.048
27,128,1.866667e-04,4.1381,4.1397,1.054
28,128,1.933333e-04,4.1297,4.1392,1.051
29,128,2.000000e-04,4.1115,4.1378,1.038
30,128,2.066667e-04,4.1342,4.1376,1.051
31,128,2.133333e-04,4.1087,4.1362,1.035
32,128,2.200000e-04,4.1129,4.1350,1.040
33,128,2.266667e-04,4.1152,4.1340,1.040
34,128,2.333333e-04,4.1188,4.1333,1.044
35,128,2.400000e-04,4.1134,4.1323,1.034
36,128,2.466667e-04,4.0963,4.1305,1.019
37,128,2.533333e-04,4.1061,4.1292,1.030
38,128,2.600000e-04,4.0954,4.1276,1.019
39,128,2.666667e-04,4.1264,4.1275,1.045
40,128,2.733333e-04,4.1064,4.1264,1.024
41,128,2.800000e-04,4.0941,4.1248,1.017
42,128,2.866667e-04,4.1050,4.1238,1.025
43,128,2.933333e-04,4.0950,4.1224,1.017
44,128,3.000000e-04,4.0986,4.1212,1.022
45,128,3.066667e-04,4.1095,4.1206,1.021
46,128,3.133333e-04,4.1140,4.1203,1.029
47,128,3.200000e-04,4.0953,4.1190,1.012
48,128,3.266667e-04,4.0952,4.1178,1.015
49,128,3.333333e-04,4.0949,4.1167,1.015
50,128,3.400000e-04,4.1113,4.1164,1.020
51,128,3.466667e-04,4.0974,4.1155,1.013
52,128,3.533333e-04,4.0830,4.1139,1.002
53,128,3.600000e-04,4.0993,4.1131,1.013
54,128,3.666667e-04,4.0901,4.1120,1.006
55,128,3.733333e-04,4.0650,4.1096,0.988
56,128,3.800000e-04,4.0709,4.1077,0.991
57,128,3.866667e-04,4.0810,4.1064,0.997
58,128,3.933333e-04,4.0745,4.1048,0.996
59,128,4.000000e-04,4.0875,4.1039,1.002
60,128,4.066667e-04,4.0704,4.1022,0.990
61,128,4.133333e-04,4.0685,4.1005,0.989
62,128,4.200000e-04,4.0888,4.1000,1.006
63,128,4.266667e-04,4.0715,4.0985,0.994
64,128,4.333333e-04,4.0839,4.0978,0.990
65,128,4.400000e-04,4.0683,4.0963,0.987
66,128,4.466667e-04,4.0494,4.0940,0.970
67,128,4.533333e-04,4.0678,4.0927,0.983
68,128,4.600000e-04,4.0729,4.0917,0.983
69,128,4.666667e-04,4.0603,4.0901,0.979
70,128,4.733333e-04,4.0680,4.0890,0.977
71,128,4.800000e-04,4.0756,4.0883,0.979
72,128,4.866667e-04,4.0507,4.0865,0.962
73,128,4.933333e-04,4.0637,4.0853,0.974
74,128,5.000000e-04,4.0524,4.0837,0.961
75,128,5.066667e-04,4.0680,4.0829,0.970
76,128,5.133333e-04,4.0520,4.0813,0.959
77,128,5.200000e-04,4.0531,4.0799,0.959
78,128,5.266667e-04,4.0431,4.0781,0.952
79,128,5.333333e-04,4.0509,4.0767,0.958
80,128,5.400000e-04,4.0591,4.0758,0.963
81,128,5.466667e-04,4.0433,4.0742,0.948
82,128,5.533333e-04,4.0527,4.0731,0.956
83,128,5.600000e-04,4.0466,4.0718,0.950
84,128,5.666667e-04,4.0517,4.0708,0.955
85,128,5.733333e-04,4.0401,4.0693,0.952
86,128,5.800000e-04,4.0596,4.0688,0.961
87,128,5.866667e-04,4.0525,4.0680,0.957
88,128,5.933333e-04,4.0524,4.0672,0.959
89,128,6.000000e-04,4.0465,4.0662,0.948
90,128,6.066667e-04,4.0366,4.0647,0.945
91,128,6.133333e-04,4.0217,4.0625,0.934
92,128,6.200000e-04,4.0310,4.0610,0.948
93,128,6.266667e-04,4.0251,4.0592,0.940
94,128,6.333333e-04,4.0699,4.0597,0.970
95,128,6.400000e-04,4.0180,4.0576,0.929
96,128,6.466667e-04,4.0271,4.0561,0.940
97,128,6.533333e-04,4.0353,4.0550,0.944
98,128,6.600000e-04,4.0193,4.0533,0.930
99,128,6.666667e-04,4.0276,4.0520,0.935
100,128,6.733333e-04,4.0228,4.0505,0.930
101,128,6.800000e-04,4.0223,4.0491,0.929
102,128,6.866667e-04,4.0132,4.0473,0.921
103,128,6.933333e-04,4.0158,4.0457,0.927
104,128,7.000000e-04,4.0180,4.0443,0.931
105,128,7.066667e-04,3.9966,4.0420,0.916
106,128,7.133333e-04,4.0076,4.0402,0.922
107,128,7.200000e-04,4.0067,4.0386,0.925
108,128,7.266667e-04,3.9935,4.0363,0.916
109,128,7.333333e-04,3.9702,4.0330,0.897
110,128,7.400000e-04,3.9856,4.0306,0.908
111,128,7.466667e-04,3.9921,4.0287,0.908
112,128,7.533333e-04,3.9786,4.0262,0.898
113,128,7.600000e-04,3.9668,4.0232,0.884
114,128,7.666667e-04,3.9863,4.0214,0.900
115,128,7.733333e-04,3.9916,4.0199,0.904
116,128,7.800000e-04,3.9615,4.0170,0.880
117,128,7.866667e-04,3.9751,4.0149,0.895
118,128,7.933333e-04,3.9856,4.0134,0.902
119,128,8.000000e-04,3.9725,4.0114,0.887
120,128,8.066667e-04,3.9403,4.0078,0.860
121,128,8.133333e-04,3.9435,4.0046,0.873
122,128,8.200000e-04,3.9431,4.0015,0.865
123,128,8.266667e-04,3.9364,3.9983,0.867
124,128,8.333333e-04,3.9273,3.9947,0.857
125,128,8.400000e-04,3.9329,3.9916,0.870
126,128,8.466667e-04,3.9253,3.9883,0.860
127,128,8.533333e-04,3.8863,3.9832,0.831
128,128,8.600000e-04,3.8941,3.9788,0.839
129,128,8.666667e-04,3.8969,3.9747,0.839
130,128,8.733333e-04,3.8859,3.9702,0.829
131,128,8.800000e-04,3.8917,3.9663,0.835
132,128,8.866667e-04,3.8921,3.9626,0.835
133,128,8.933333e-04,3.8848,3.9587,0.832
134,128,9.000000e-04,3.8847,3.9550,0.832
135,128,9.066667e-04,3.8916,3.9518,0.834
136,128,9.133333e-04,3.8697,3.9477,0.812
137,128,9.200000e-04,3.8539,3.9430,0.805
138,128,9.266667e-04,3.8504,3.9384,0.800
139,128,9.333333e-04,3.8584,3.9344,0.801
140,128,9.400000e-04,3.8611,3.9307,0.800
141,128,9.466667e-04,3.8340,3.9259,0.783
142,128,9.533333e-04,3.8586,3.9225,0.801
143,128,9.600000e-04,3.8443,3.9186,0.788
144,128,9.666667e-04,3.8569,3.9155,0.796
145,128,9.733333e-04,3.8519,3.9124,0.796
146,128,9.800000e-04,3.8360,3.9085,0.772
147,128,9.866667e-04,3.8358,3.9049,0.785
148,128,9.933333e-04,3.8454,3.9019,0.784
149,128,1.000000e-03,3.8389,3.8988,0.780
150,128,1.006667e-03,3.8442,3.8960,0.778
151,128,1.013333e-03,3.8463,3.8936,0.782
152,128,1.020000e-03,3.8408,3.8909,0.780
153,128,1.026667e-03,3.8330,3.8880,0.770
154,128,1.033333e-03,3.8390,3.8856,0.773
155,128,1.040000e-03,3.8374,3.8832,0.767
156,128,1.046667e-03,3.8295,3.8805,0.769
157,128,1.053333e-03,3.8147,3.8772,0.751
158,128,1.060000e-03,3.8281,3.8747,0.761
159,128,1.066667e-03,3.8061,3.8713,0.749
160,128,1.073333e-03,3.8175,3.8686,0.751
