step,block_size,lr,train_loss,train_ema,gn
0,32,6.666667e-06,4.1611,4.1611,1.072
1,32,1.333333e-05,4.1729,4.1617,1.072
2,32,2.000000e-05,4.1569,4.1615,1.071
3,32,2.666667e-05,4.1666,4.1617,1.077
4,32,3.333333e-05,4.1508,4.1612,1.066
5,32,4.000000e-05,4.1651,4.1614,1.079
6,32,4.666667e-05,4.1723,4.1619,1.087
7,32,5.333333e-05,4.1053,4.1591,1.036
8,32,6.000000e-05,4.1428,4.1583,1.060
9,32,6.666667e-05,4.1427,4.1575,1.065
10,32,7.333333e-05,4.1439,4.1568,1.055
11,32,8.000000e-05,4.1277,4.1554,1.053
12,32,8.666667e-05,4.1468,4.1549,1.070
13,32,9.333333e-05,4.1579,4.1551,1.071
14,32,1.000000e-04,4.1444,4.1546,1.068
15,32,1.066667e-04,4.1512,4.1544,1.068
16,32,1.133333e-04,4.1459,4.1540,1.060
17,32,1.200000e-04,4.1380,4.1532,1.049
18,32,1.266667e-04,4.1308,4.1521,1.060
19,32,1.333333e-04,4.1634,4.1526,1.077
20,32,1.400000e-04,4.1809,4.1540,1.094
21,32,1.466667e-04,4.1241,4.1525,1.053
22,32,1.533333e-04,4.1203,4.1509,1.041
23,32,1.600000e-04,4.1062,4.1487,1.037
24,32,1.666667e-04,4.1558,4.1490,1.063
25,32,1.733333e-04,4.1174,4.1475,1.045
26,32,1.800000e-04,4.1331,4.1467,1.051
27,32,1.866667e-04,4.1360,4.1462,1.055
28,32,1.933333e-04,4.1363,4.1457,1.059
29,32,2.000000e-04,4.1092,4.1439,1.036
30,32,2.066667e-04,4.1524,4.1443,1.063
31,32,2.133333e-04,4.1384,4.1440,1.052
32,32,2.200000e-04,4.1378,4.1437,1.065
33,32,2.266667e-04,4.1271,4.1429,1.052
34,32,2.333333e-04,4.1324,4.1424,1.058
35,32,2.400000e-04,4.1030,4.1404,1.031
36,32,2.466667e-04,4.1094,4.1388,1.032
37,32,2.533333e-04,4.1415,4.1390,1.058
38,32,2.600000e-04,4.0821,4.1361,1.014
39,32,2.666667e-04,4.1335,4.1360,1.050
40,32,2.733333e-04,4.1257,4.1355,1.039
41,32,2.800000e-04,4.0754,4.1325,1.007
42,32,2.866667e-04,4.1143,4.1316,1.025
43,32,2.933333e-04,4.0902,4.1295,1.019
44,32,3.000000e-04,4.1164,4.1288,1.042
45,32,3.066667e-04,4.1187,4.1283,1.036
46,32,3.133333e-04,4.1039,4.1271,1.023
47,32,3.200000e-04,4.1319,4.1274,1.032
48,32,3.266667e-04,4.0912,4.1255,1.013
49,32,3.333333e-04,4.0944,4.1240,1.015
50,32,3.400000e-04,4.1282,4.1242,1.025
51,32,3.466667e-04,4.1289,4.1244,1.039
52,32,3.533333e-04,4.1016,4.1233,1.009
53,32,3.600000e-04,4.1059,4.1224,1.013
54,32,3.666667e-04,4.0648,4.1195,0.997
55,32,3.733333e-04,4.0535,4.1162,0.975
56,32,3.800000e-04,4.0767,4.1143,0.999
57,32,3.866667e-04,4.1153,4.1143,1.026
58,32,3.933333e-04,4.0941,4.1133,1.009
59,32,4.000000e-04,4.0905,4.1122,0.998
60,32,4.066667e-04,4.0857,4.1108,1.003
61,32,4.133333e-04,4.0968,4.1101,1.016
62,32,4.200000e-04,4.0918,4.1092,1.006
63,32,4.266667e-04,4.0804,4.1078,1.001
64,32,4.333333e-04,4.0962,4.1072,0.999
65,32,4.400000e-04,4.0823,4.1060,0.997
66,32,4.466667e-04,4.0714,4.1042,0.983
67,32,4.533333e-04,4.0627,4.1022,0.970
68,32,4.600000e-04,4.0930,4.1017,1.003
69,32,4.666667e-04,4.0956,4.1014,1.005
70,32,4.733333e-04,4.0992,4.1013,1.005
71,32,4.800000e-04,4.0666,4.0996,0.976
72,32,4.866667e-04,4.0798,4.0986,0.981
73,32,4.933333e-04,4.0544,4.0964,0.965
74,32,5.000000e-04,4.0645,4.0948,0.969
75,32,5.066667e-04,4.0646,4.0933,0.966
76,32,5.133333e-04,4.0660,4.0919,0.969
77,32,5.200000e-04,4.0709,4.0908,0.973
78,32,5.266667e-04,4.0504,4.0888,0.961
79,32,5.333333e-04,4.0454,4.0866,0.951
80,32,5.400000e-04,4.0652,4.0856,0.967
81,32,5.466667e-04,4.0426,4.0834,0.957
82,32,5.533333e-04,4.0661,4.0826,0.972
83,32,5.600000e-04,4.0580,4.0813,0.963
84,32,5.666667e-04,4.0726,4.0809,0.970
85,32,5.733333e-04,4.0327,4.0785,0.938
86,32,5.800000e-04,4.0737,4.0782,0.969
87,32,5.866667e-04,4.0147,4.0751,0.924
88,32,5.933333e-04,4.0377,4.0732,0.944
89,32,6.000000e-04,4.0564,4.0724,0.962
90,32,6.066667e-04,4.0532,4.0714,0.964
91,32,6.133333e-04,4.0367,4.0697,0.943
92,32,6.200000e-04,4.0395,4.0682,0.957
93,32,6.266667e-04,4.0105,4.0653,0.925
94,32,6.333333e-04,4.0494,4.0645,0.948
95,32,6.400000e-04,4.0199,4.0623,0.940
96,32,6.466667e-04,4.0330,4.0608,0.943
97,32,6.533333e-04,4.0395,4.0597,0.944
98,32,6.600000e-04,4.0145,4.0575,0.924
99,32,6.666667e-04,4.0576,4.0575,0.958
100,32,6.733333e-04,4.0172,4.0555,0.927
101,32,6.800000e-04,4.0428,4.0548,0.944
102,32,6.866667e-04,4.0221,4.0532,0.933
103,32,6.933333e-04,4.0070,4.0509,0.915
104,32,7.000000e-04,4.0168,4.0492,0.928
105,32,7.066667e-04,3.9913,4.0463,0.912
106,32,7.133333e-04,4.0123,4.0446,0.920
107,32,7.200000e-04,4.0236,4.0435,0.929
108,32,7.266667e-04,4.0269,4.0427,0.929
109,32,7.333333e-04,3.9769,4.0394,0.894
110,32,7.400000e-04,4.0197,4.0384,0.927
111,32,7.466667e-04,4.0127,4.0371,0.925
112,32,7.533333e-04,3.9579,4.0332,0.883
113,32,7.600000e-04,3.9802,4.0305,0.891
114,32,7.666667e-04,4.0085,4.0294,0.912
115,32,7.733333e-04,4.0044,4.0282,0.916
116,32,7.800000e-04,3.9860,4.0261,0.899
117,32,7.866667e-04,4.0086,4.0252,0.915
118,32,7.933333e-04,3.9904,4.0235,0.905
119,32,8.000000e-04,4.0069,4.0226,0.912
120,32,8.066667e-04,3.9279,4.0179,0.853
121,32,8.133333e-04,3.9783,4.0159,0.897
122,32,8.200000e-04,3.9705,4.0136,0.883
123,32,8.266667e-04,3.9488,4.0104,0.881
124,32,8.333333e-04,3.9413,4.0069,0.867
125,32,8.400000e-04,3.9439,4.0038,0.876
126,32,8.466667e-04,3.9356,4.0004,0.869
127,32,8.533333e-04,3.9366,3.9972,0.871
128,32,8.600000e-04,3.9218,3.9934,0.855
129,32,8.666667e-04,3.9340,3.9905,0.868
130,32,8.733333e-04,3.9301,3.9874,0.856
131,32,8.800000e-04,3.9147,3.9838,0.857
132,32,8.866667e-04,3.9069,3.9800,0.839
133,32,8.933333e-04,3.8999,3.9760,0.842
134,32,9.000000e-04,3.8880,3.9716,0.838
135,32,9.066667e-04,3.8997,3.9680,0.843
136,32,9.133333e-04,3.8960,3.9644,0.828
137,32,9.200000e-04,3.8879,3.9605,0.831
138,32,9.266667e-04,3.8391,3.9545,0.798
139,32,9.333333e-04,3.8631,3.9499,0.818
140,32,9.400000e-04,3.8481,3.9448,0.800
141,32,9.466667e-04,3.8398,3.9396,0.792
142,32,9.533333e-04,3.8795,3.9366,0.808
143,32,9.600000e-04,3.8607,3.9328,0.803
144,32,9.666667e-04,3.8775,3.9300,0.812
145,32,9.733333e-04,3.8643,3.9267,0.820
146,32,9.800000e-04,3.8609,3.9234,0.803
147,32,9.866667e-04,3.8519,3.9198,0.794
148,32,9.933333e-04,3.8581,3.9168,0.794
149,32,1.000000e-03,3.8730,3.9146,0.802
150,32,1.006667e-03,3.8477,3.9112,0.782
151,32,1.013333e-03,3.8718,3.9093,0.800
152,32,1.020000e-03,3.8671,3.9072,0.788
153,32,1.026667e-03,3.8386,3.9037,0.776
154,32,1.033333e-03,3.8592,3.9015,0.791
155,32,1.040000e-03,3.8411,3.8985,0.774
156,32,1.046667e-03,3.8407,3.8956,0.772
157,32,1.053333e-03,3.7933,3.8905,0.745
158,32,1.060000e-03,3.8667,3.8893,0.784
159,32,1.066667e-03,3.8179,3.8857,0.758
160,32,1.073333e-03,3.8444,3.8837,0.768
161,32,1.080000e-03,3.8423,3.8816,0.768
162,32,1.086667e-03,3.8336,3.8792,0.774
163,32,1.093333e-03,3.7758,3.8740,0.725
164,32,1.100000e-03,3.7829,3.8695,0.729
165,32,1.106667e-03,3.8089,3.8664,0.737
166,32,1.113333e-03,3.8122,3.8637,0.749
167,32,1.120000e-03,3.7756,3.8593,0.718
168,32,1.126667e-03,3.7759,3.8551,0.722
169,32,1.133333e-03,3.8041,3.8526,0.745
170,32,1.140000e-03,3.7655,3.8482,0.718
171,32,1.146667e-03,3.7535,3.8435,0.699
172,32,1.153333e-03,3.7697,3.8398,0.714
173,32,1.160000e-03,3.7405,3.8349,0.692
174,32,1.166667e-03,3.7523,3.8307,0.695
175,32,1.173333e-03,3.7749,3.8279,0.711
176,32,1.180000e-03,3.7776,3.8254,0.724
177,32,1.186667e-03,3.7757,3.8229,0.703
178,32,1.193333e-03,3.7696,3.8203,0.709
179,32,1.200000e-03,3.7566,3.8171,0.707
180,32,1.206667e-03,3.7357,3.8130,0.685
181,32,1.213333e-03,3.7367,3.8092,0.679
182,32,1.220000e-03,3.7333,3.8054,0.674
183,32,1.226667e-03,3.7497,3.8026,0.686
184,32,1.233333e-03,3.7302,3.7990,0.677
185,32,1.240000e-03,3.7408,3.7961,0.681
186,32,1.246667e-03,3.7044,3.7915,0.654
187,32,1.253333e-03,3.6849,3.7862,0.643
188,32,1.260000e-03,3.7167,3.7827,0.667
189,32,1.266667e-03,3.7287,3.7800,0.674
190,32,1.273333e-03,3.6886,3.7754,0.652
191,32,1.280000e-03,3.7020,3.7718,0.656
192,32,1.286667e-03,3.6976,3.7680,0.657
193,32,1.293333e-03,3.6797,3.7636,0.642
194,32,1.300000e-03,3.6622,3.7586,0.626
195,32,1.306667e-03,3.6948,3.7554,0.650
196,32,1.313333e-03,3.6914,3.7522,0.645
197,32,1.320000e-03,3.6591,3.7475,0.619
198,32,1.326667e-03,3.6087,3.7406,0.568
199,32,1.333333e-03,3.6364,3.7354,0.613
200,32,1.340000e-03,3.6681,3.7320,0.626
201,32,1.346667e-03,3.6672,3.7288,0.629
202,32,1.353333e-03,3.6818,3.7264,0.638
203,32,1.360000e-03,3.6396,3.7221,0.621
204,32,1.366667e-03,3.5939,3.7157,0.584
205,32,1.373333e-03,3.6013,3.7099,0.598
206,32,1.380000e-03,3.6228,3.7056,0.606
207,32,1.386667e-03,3.5752,3.6991,0.572
208,32,1.393333e-03,3.5945,3.6938,0.582
209,32,1.400000e-03,3.6341,3.6909,0.610
210,32,1.406667e-03,3.5590,3.6843,0.557
211,32,1.413333e-03,3.5787,3.6790,0.581
212,32,1.420000e-03,3.6094,3.6755,0.592
213,32,1.426667e-03,3.5798,3.6707,0.568
214,32,1.433333e-03,3.5630,3.6653,0.563
